Local;Votos;Latitude;Longitude
BENJAMIN CONSTANT DO SUL;1;-27.51004;-52.60096
BOA VISTA DO SUL;1;-29.37093;-51.66386
TABAÍ;1;-29.68774;-51.71993
TRÊS FORQUILHAS;1;-29.53763;-50.06236
PAIM FILHO;1;-27.7095;-51.75901
SEVERIANO DE ALMEIDA;1;-27.43106;-52.11641
SÃO PEDRO DO SUL;1;-29.61861;-54.17733
SÃO PAULO DAS MISSÕES;1;-28.02227;-54.93821
GRAMADO;1;-29.37456;-50.87643
SALVADOR DO SUL;1;-29.44291;-51.51157
RONDINHA;1;-29.49836;-49.85333
IRAÍ;1;-27.19193;-53.26211
JABOTICABA;1;-27.63392;-53.28103
JACUIZINHO;1;-29.03563;-53.05259
JAGUARI;1;-29.49444;-54.69129
PROTÁSIO ALVES;1;-28.758;-51.47345
POUSO NOVO;1;-29.17044;-52.209
LINDOLFO COLLOR;1;-29.59595;-51.21052
MARIANO MORO;1;-27.35255;-52.14569
PINHAL DA SERRA;1;-27.87467;-51.171
PEJUÇARA;1;-28.42296;-53.65651
NONOAI;1;-27.36378;-52.77257
NOVA PRATA;1;-28.78394;-51.60844
SANTA ROSA;1;-27.87092;-54.4833
SANTIAGO;1;-29.19453;-54.86957
FONTOURA XAVIER;1;-28.98142;-52.34653
SÃO JOSÉ DO OURO;1;-27.77357;-51.58989
SÃO MARTINHO DA SERRA;1;-29.53536;-53.85424
CASEIROS;1;-28.27321;-51.69047
CERRO BRANCO;1;-29.66584;-52.93443
SÃO JOÃO DO POLÊSINE;1;-29.61614;-53.4462
CERRO LARGO;1;-28.14714;-54.73575
SÃO JOSÉ DO SUL;1;-29.53444;-51.48696
CORONEL BICACO;1;-27.71631;-53.70602
FAXINALZINHO;1;-27.42358;-52.67388
COTIPORÃ;1;-28.99464;-51.69642
PALMEIRA DAS MISSÕES;1;-27.9013;-53.31171
CRUZEIRO DO SUL;1;-29.51288;-51.98593
SEDE NOVA;1;-27.63727;-53.94738
EUGÊNIO DE CASTRO;1;-28.53116;-54.14695
FAXINAL DO SOTURNO;1;-29.57714;-53.4459
MAÇAMBARÁ;1;-29.14737;-56.06718
